1745356180.949308872 0.041761637  450909 
1745356180.949312687 0.041612625  450910 
1745356180.949314117 0.041460991  450911 
1745356180.949315071 0.041295290  450912 
1745356180.949315786 0.041143656  450913 
1745356180.949317217 0.040992737  450914 
1745356180.949991703 0.041499138  450915 
1745356180.949994087 0.041349173  450916 
1745356180.949995041 0.041198254  450917 
1745356180.949996233 0.041031837  450918 
1745356180.950007915 0.040890455  450919 
1745356180.950669289 0.041398048  450920 
1745356180.950671673 0.041238070  450921 
1745356180.950672626 0.041090250  450922 
1745356180.950673819 0.040944815  450923 
1745356180.951390982 0.041499376  450924 
1745356180.951393366 0.041353703  450925 
1745356180.951394796 0.041207790  450926 
1745356180.951396704 0.041012764  450927 
1745356180.951398134 0.040865660  450928 
1745356180.951745987 0.041062832  450929 
1745356180.952552080 0.041706085  450930 
1745356180.952554464 0.041560173  450931 
1745356180.952555418 0.041413307  450932 
1745356180.952556133 0.041073084  450933 
1745356180.952558994 0.040870905  450934 
1745356180.953228474 0.041390896  450935 
1745356180.953230858 0.041245222  450936 
1745356180.953231812 0.041059494  450937 
1745356180.953233242 0.040911436  450938 
1745356180.953803301 0.041318893  450939 
1745356180.953805447 0.041172504  450940 
1745356180.953806877 0.041025162  450941 
1745356180.954385996 0.041456938  450942 
1745356180.954388380 0.041313410  450943 
1745356180.954390526 0.041141272  450944 
1745356180.954392195 0.040992737  450945 
1745356180.954392910 0.040844679  450946 
1745356180.955029011 0.041317225  450947 
1745356180.955031157 0.041170597  450948 
1745356180.955032110 0.041023970  450949 
1745356180.955033302 0.040861130  450950 
1745356180.955693007 0.041372538  450951 
1745356180.955695391 0.041226387  450952 
1745356180.955696344 0.041058779  450953 
1745356180.955697536 0.040911436  450954 
1745356180.956356764 0.041409254  450955 
1745356180.956358910 0.041263103  450956 
1745356180.956359863 0.041097403  450957 
1745356180.956361532 0.040950537  450958 
1745356180.956683159 0.041103363  450959 
1745356180.958678722 0.042846918  450960 
1745356180.958683491 0.042664528  450961 
1745356180.958684921 0.042516708  450962 
1745356180.958686352 0.042159557  450963 
1745356180.958687544 0.042011023  450964 
1745356180.958688498 0.041847944  450965 
1745356180.958689451 0.041699171  450966 
1745356180.958690405 0.041549444  450967 
1745356180.958691120 0.041358709  450968 
1745356180.958692074 0.041208267  450969 
1745356180.958693027 0.041038036  450970 
1745356180.958694935 0.040887117  450971 
1745356180.959502697 0.041527987  450972 
1745356180.959508419 0.041337252  450973 
1745356180.959511042 0.041131496  450974 
1745356180.959512234 0.040940523  450975 
1745356180.960272789 0.041508198  450976 
1745356180.960278273 0.041091919  450977 
1745356180.960489035 0.041047335  450978 
1745356180.961144924 0.041493893  450979 
1745356180.961147785 0.041340590  450980 
1745356180.961148500 0.041190386  450981 
1745356180.961150408 0.041038275  450982 
1745356180.961386442 0.041113138  450983 
1745356180.961389303 0.040952682  450984 
1745356180.961851358 0.041260958  450985 
1745356180.961853743 0.041107655  450986 
1745356180.961855173 0.040918827  450987 
1745356180.962230921 0.041145086  450988 
1745356180.962632418 0.040998697  450989 
1745356180.964723349 0.042096853  450990 
1745356180.964727402 0.041939259  450991 
1745356180.964728355 0.041768789  450992 
1745356180.964729309 0.041619539  450993 
1745356180.964730024 0.041468143  450994 
1745356180.964735031 0.041204929  450995 
1745356180.964738131 0.041041851  450996 
1745356180.965268850 0.041399717  450997 
1745356180.965271235 0.041248798  450998 
1745356180.965272188 0.041083574  450999 
1745356180.965273619 0.040934324  451000 
1745356180.965852737 0.041362286  451001 
1745356180.965854883 0.041196585  451002 
1745356180.965855837 0.041046858  451003 
1745356180.965857267 0.040882587  451004 
1745356180.966110706 0.040985823  451005 
1745356180.966600895 0.041326284  451006 
1745356180.966603041 0.041163683  451007 
1745356180.966604471 0.041014433  451008 
1745356180.967079639 0.041316509  451009 
1745356180.967082262 0.041167498  451010 
1745356180.967083693 0.041017532  451011 
1745356180.967577219 0.041272879  451012 
1745356180.967579842 0.041121960  451013 
1745356180.967581272 0.040971041  451014 
1745356180.968226433 0.041450262  451015 
1745356180.968228579 0.041301727  451016 
1745356180.968229532 0.041152000  451017 
1745356180.968230963 0.040917873  451018 
1745356180.968768597 0.041206837  451019 
1745356180.968770742 0.041057825  451020 
1745356180.968772173 0.040908575  451021 
1745356180.969194412 0.041181564  451022 
1745356180.969196796 0.041010618  451023 
1745356180.969198704 0.040859938  451024 
1745356180.969724655 0.041221857  451025 
1745356180.969727516 0.041074276  451026 
1745356180.969730377 0.040927887  451027 
1745356180.970149755 0.041182041  451028 
1745356180.970153093 0.041035175  451029 
1745356180.970154762 0.040885448  451030 
1745356180.971234083 0.041800737  451031 
1745356180.971236467 0.041651011  451032 
1745356180.971237183 0.041502476  451033 
1745356180.971238136 0.041337967  451034 
1745356180.971238852 0.041189432  451035 
1745356180.971239567 0.041030169  451036 
1745356180.971240997 0.040866613  451037 
1745356180.975200176 0.044676304  451038 
1745356180.975203276 0.044528484  451039 
1745356180.975203991 0.044364691  451040 
1745356180.975204468 0.044214725  451041 
1745356180.975204945 0.043979645  451042 
1745356180.975205898 0.043745518  451043 
1745356180.975206852 0.043577433  451044 
1745356180.975207329 0.043426991  451045 
1745356180.975208998 0.043239594  451046 
1745356180.975210190 0.043090582  451047 
1745356180.975210667 0.042942524  451048 
1745356180.975211382 0.042773962  451049 
1745356180.975211859 0.042623997  451050 
1745356180.975212336 0.042460442  451051 
1745356180.975212812 0.042310953  451052 
1745356180.975213528 0.042162418  451053 
1745356180.975214481 0.041999578  451054 
1745356180.975215197 0.041849375  451055 
1745356180.975215673 0.041698933  451056 
1745356180.975216389 0.041534185  451057 
1745356180.975216866 0.041317463  451058 
1745356180.975218296 0.041137218  451059 
1745356180.976728201 0.042423964  451060 
1745356180.976731539 0.042198420  451061 
1745356180.976732016 0.042036772  451062 
1745356180.976734400 0.041834593  451063 
1745356180.976734877 0.041671991  451064 
1745356180.976735353 0.041372061  451065 
1745356180.976736546 0.041088343  451066 
1745356180.980027199 0.044064760  451067 
1745356180.980030298 0.043901682  451068 
1745356180.980031013 0.043751240  451069 
1745356180.980032206 0.043559551  451070 
1745356180.980033159 0.043369532  451071 
1745356180.980033875 0.043174267  451072 
1745356180.980034351 0.043021441  451073 
1745356180.980034590 0.042857647  451074 
1745356180.980035305 0.042708635  451075 
1745356180.980035782 0.042559862  451076 
